Model,Accuracy,Precision,Recall,F1-Score
MLP,0.8396066984175756,0.05820610687022901,0.5169491525423728,0.10463121783876501
CNN 1D,0.8013519741895837,0.0605833956619297,0.6864406779661016,0.11134020618556702
